Id                  hcIdx   BaseId              NextInClass        TransLvl  NameStr
nihlathak           514     nihlathak                              0         Nihlathak Town
qual-kehk           515     qual-kehk                              0         Qual-Kehk
catapultspotter1    516     catapultspotter1    catapultspotter2   0         Catapult Spotter S
catapultspotter2    517     catapultspotter1    catapultspotter3   1         Catapult Spotter E
catapultspotter3    518     catapultspotter1    catapultspotter4   2         Catapult Spotter Siege
catapultspotter4    519     catapultspotter1                       3         Catapult Spotter W
cain6               520     cain6                                  0         DeckardCain
tyrael3             521     tyrael3                                0         tyrael
act5barb1           522     act5barb1                              0         Act 5 Combatant
act5barb2           523     act5barb2                              0         Act 5 Combatant
barricadewall1      524     barricadewall1      barricadewall2     0         Barricade Wall Right
barricadewall2      525     barricadewall1                         1         Barricade Wall Left
nihlathakboss       526     nihlathakboss                          0         Nihlathak
drehyaiced          527     drehyaiced                             0         Drehya
evilhut             528     evilhut                                0         Evil hut
deathmauler1        529     deathmauler1        deathmauler2       0         Death Mauler1
deathmauler2        530     deathmauler1        deathmauler3       1         Death Mauler2
deathmauler3        531     deathmauler1        deathmauler4       2         Death Mauler3
deathmauler4        532     deathmauler1        deathmauler5       3         Death Mauler4
deathmauler5        533     deathmauler1        deathmauler6       4         Death Mauler5
act5pow             534     act5pow                                0         POW
act5barb3           535     act5barb3           act5barb4          0         Act 5 Townguard
act5barb4           536     act5barb3                              1         Act 5 Townguard
ancientstatue1      537     ancientstatue1      ancientstatue2     0         Ancient Statue 1
ancientstatue2      538     ancientstatue1      ancientstatue3     1         Ancient Statue 2
ancientstatue3      539     ancientstatue1                         2         Ancient Statue 3
ancientbarb1        540     ancientbarb1        ancientbarb2       0         Ancient Barbarian 1
ancientbarb2        541     ancientbarb1        ancientbarb3       1         Ancient Barbarian 2
ancientbarb3        542     ancientbarb1                           2         Ancient Barbarian 3
baalthrone          543     baalthrone                             0         Baal Throne
baalcrab            544     baalcrab                               0         Baal Crab
baaltaunt           545     baaltaunt                              0         Baal Taunt
putriddefiler1      546     putriddefiler1      putriddefiler2     0         Putrid Defiler1
putriddefiler2      547     putriddefiler1      putriddefiler3     1         Putrid Defiler2
putriddefiler3      548     putriddefiler1      putriddefiler4     2         Putrid Defiler3
putriddefiler4      549     putriddefiler1      putriddefiler5     3         Putrid Defiler4
putriddefiler5      550     putriddefiler1                         4         Putrid Defiler5
painworm1           551     painworm1           painworm2          0         Pain Worm1
painworm2           552     painworm1           painworm3          1         Pain Worm2
painworm3           553     painworm1           painworm4          2         Pain Worm3
painworm4           554     painworm1           painworm5          3         Pain Worm4
painworm5           555     painworm1                              4         Pain Worm5
bunny               556     bunny                                  0         Bunny
baalhighpriest      557     baalhighpriest                         0         Council Member
venomlord           558     venomlord                              0         VenomLord
baalcrabstairs      559     baalcrabstairs                         0         Baal Crab to Stairs
act5hire1           560     act5hire1           act5hire2          0         Act 5 Hireling 1hs
act5hire2           561     act5hire1                              1         Act 5 Hireling 2hs
baaltentacle1       562     baaltentacle1       baaltentacle2      0         Baal Tentacle
baaltentacle2       563     baaltentacle1       baaltentacle3      1         Baal Tentacle
baaltentacle3       564     baaltentacle1       baaltentacle4      2         Baal Tentacle
baaltentacle4       565     baaltentacle1       baaltentacle5      3         Baal Tentacle
baaltentacle5       566     baaltentacle1                          4         Baal Tentacle
injuredbarb1        567     injuredbarb1                           0         Injured Barbarian 1
injuredbarb2        568     injuredbarb2                           0         Injured Barbarian 2
injuredbarb3        569     injuredbarb3                           0         Injured Barbarian 3
baalclone           570     baalclone                              0         Baal Crab Clone
baalminion1         571     baalminion1         baalminion2        0         Baals Minion
baalminion2         572     baalminion1         baalminion3        1         Baals Minion
baalminion3         573     baalminion1                            2         Baals Minion
worldstoneeffect    574     worldstoneeffect                       0         Worldstone Effect
sk_archer6          575     sk_archer1          sk_archer7         3         BurningDeadArcher
sk_archer7          576     sk_archer1          sk_archer8         2         BoneArcher
sk_archer8          577     sk_archer1          sk_archer9         3         BurningDeadArcher
sk_archer9          578     sk_archer1          sk_archer10        1         ReturnedArcher
sk_archer10         579     sk_archer1                             4         HorrorArcher
bighead6            580     bighead1            bighead7           4         Afflicted
bighead7            581     bighead1            bighead8           1         Tainted
bighead8            582     bighead1            bighead9           2         Misshapen
bighead9            583     bighead1            bighead10          3         Disfigured
bighead10           584     bighead1                               0         Damned
goatman6            585     goatman1            goatman7           0         MoonClan
goatman7            586     goatman1            goatman8           1         NightClan
goatman8            587     goatman1            goatman9           2         HellClan
goatman9            588     goatman1            goatman10          3         BloodClan
goatman10           589     goatman1                               4         DeathClan
foulcrow5           590     foulcrow1           foulcrow6          0         FoulCrow
foulcrow6           591     foulcrow1           foulcrow7          1         BloodHawk
foulcrow7           592     foulcrow1           foulcrow8          2         BlackRaptor
foulcrow8           593     foulcrow1                              3         CloudStalker
clawviper6          594     clawviper1          clawviper7         4         ClawViper
clawviper7          595     clawviper1          clawviper8         4         PitViper
clawviper8          596     clawviper1          clawviper9         0         Salamander
clawviper9          597     clawviper1          clawviper10        1         TombViper
clawviper10         598     clawviper1                             1         SerpentMagus
sandraider6         599     sandraider1         sandraider7        0         Marauder
sandraider7         600     sandraider1         sandraider8        1         Infidel
sandraider8         601     sandraider1         sandraider9        4         SandRaider
sandraider9         602     sandraider1         sandraider10       3         Invader
sandraider10        603     sandraider1                            2         Assailant
deathmauler6        604     deathmauler1                           0         Death Mauler1
quillrat6           605     quillrat1           quillrat7          0         QuillRat
quillrat7           606     quillrat1           quillrat8          1         SpikeFiend
quillrat8           607     quillrat1                              4         RazorSpine
vulture5            608     vulture1                               0         CarrionBird
thornhulk5          609     thornhulk1                             0         ThornedHulk
slinger7            610     slinger1            slinger8           0         Slinger
slinger8            611     slinger1            slinger9           1         Slinger
slinger9            612     slinger1                               1         Slinger
cr_archer6          613     cr_archer1          cr_archer7         1         VileArcher
cr_archer7          614     cr_archer1                             2         DarkArcher
cr_lancer6          615     cr_lancer1          cr_lancer7         1         VileLancer
cr_lancer7          616     cr_lancer1          cr_lancer8         2         DarkLancer
cr_lancer8          617     cr_lancer1                             3         BlackLancer
blunderbore5        618     blunderbore1        blunderbore6       0         Blunderbore
blunderbore6        619     blunderbore1                           2         Mauler
skmage_fire5        620     skmage_fire1        skmage_fire6       1         ReturnedMage
skmage_fire6        621     skmage_fire1                           3         BurningDeadMage
skmage_ltng5        622     skmage_ltng1        skmage_ltng6       1         ReturnedMage
skmage_ltng6        623     skmage_ltng1                           3         HorrorMage
skmage_cold5        624     skmage_cold1                           2         BoneMage
skmage_pois5        625     skmage_pois1        skmage_pois6       4         HorrorMage
skmage_pois6        626     skmage_pois1                           0         HorrorMage
pantherwoman5       627     pantherwoman1       pantherwoman6      0         Huntress
pantherwoman6       628     pantherwoman1                          1         SaberCat
sandleaper6         629     sandleaper1         sandleaper7        1         CaveLeaper
sandleaper7         630     sandleaper1                            3         TombCreeper
wraith6             631     wraith1             wraith7            0         Ghost
wraith7             632     wraith1             wraith8            0         Wraith
wraith8             633     wraith1                                0         Specter
succubus6           634     succubus1           succubus7          0         Succubusexp
succubus7           635     succubus1                              2         Hell Temptress
succubuswitch6      636     succubuswitch1      succubuswitch7     3         Dominus
succubuswitch7      637     succubuswitch1      succubuswitch8     4         Hell Witch
succubuswitch8      638     succubuswitch1                         1         VileWitch
willowisp5          639     willowisp1          willowisp6         0         Gloam
willowisp6          640     willowisp1          willowisp7         3         BlackSoul
willowisp7          641     willowisp1                             0         BurningSoul
fallen6             642     fallen1             fallen7            1         Carver
fallen7             643     fallen1             fallen8            2         Devilkin
fallen8             644     fallen1                                0         DarkOne
fallenshaman6       645     fallenshaman1       fallenshaman7      1         CarverShaman
fallenshaman7       646     fallenshaman1       fallenshaman8      2         DevilkinShaman
fallenshaman8       647     fallenshaman1                          0         DarkShaman
skeleton6           648     skeleton1           skeleton7          2         BoneWarrior
skeleton7           649     skeleton1                              1         Returned
batdemon6           650     batdemon1           batdemon7          1         Gloombat
batdemon7           651     batdemon1                              0         Fiend
bloodlord6          652     bloodlord1          bloodlord7         2         Blood Lord1
bloodlord7          653     bloodlord1                             3         Blood Lord4
scarab6             654     scarab1             scarab7            2         Scarab
scarab7             655     scarab1                                0         SteelWeevil
fetish6             656     fetish1             fetish7            1         Flayer
fetish7             657     fetish1             fetish8            0         StygianDoll
fetish8             658     fetish1                                2         SoulKiller
fetishblow6         659     fetishblow1         fetishblow7        1         Flayer
fetishblow7         660     fetishblow1         fetishblow8        0         StygianDoll
fetishblow8         661     fetishblow1                            2         SoulKiller
fetishshaman6       662     fetishshaman1       fetishshaman7      1         FlayerShaman
fetishshaman7       663     fetishshaman1       fetishshaman8      0         StygianDollShaman
fetishshaman8       664     fetishshaman1                          2         SoulKillerShaman
baboon7             665     baboon1             baboon8            4         TempleGuard
baboon8             666     baboon1                                3         TempleGuard
unraveler6          667     unraveler1          unraveler7         4         Guardian
unraveler7          668     unraveler1          unraveler8         2         Unraveler
unraveler8          669     unraveler1          unraveler9         4         Horadrim Ancient
unraveler9          670     unraveler1                             2         Horadrim Ancient
zealot4             671     zealot1             zealot5            1         Zealot
zealot5             672     zealot1                                2         Zealot
cantor5             673     cantor1             cantor6            1         Heirophant
cantor6             674     cantor1                                2         Heirophant
vilemother4         675     vilemother1         vilemother5        2         Grotesque
vilemother5         676     vilemother1                            0         FleshSpawner
vilechild4          677     vilechild1          vilechild5         2         GrotesqueWyrm
vilechild5          678     vilechild1                             0         FleshBeast
sandmaggot6         679     sandmaggot1                            4         WorldKiller
maggotbaby6         680     maggotbaby1                            4         WorldKillerYoung
maggotegg6          681     maggotegg1                             4         WorldKillerEgg
minion9             682     minion1             minion10           2         Slayerexp
minion10            683     minion1             minion11           3         HellSpawn
minion11            684     minion1                                2         GreaterHellSpawn
arach6              685     arach1                                 0         Arach
megademon4          686     megademon1          megademon5         0         Balrog
megademon5          687     megademon1                             0         PitLord
imp6                688     imp1                imp7               0         Imp1
imp7                689     imp1                                   3         Imp4
bonefetish6         690     bonefetish1         bonefetish7        2         Undead StygianDoll
bonefetish7         691     bonefetish1                            2         Undead SoulKiller
fingermage4         692     fingermage1         fingermage5        1         Strangler
fingermage5         693     fingermage1                            1         StormCaster
regurgitator4       694     regurgitator1                          2         MawFiend
vampire6            695     vampire1            vampire7           3         BloodLord
vampire7            696     vampire1            vampire8           0         GhoulLord
vampire8            697     vampire1                               3         DarkLord
reanimatedhorde6    698     reanimatedhorde1                       0         UnholyCorpse
dkfig1              699     doomknight1         dkfig2             0         DoomKnight
dkfig2              700     doomknight1                            0         DoomKnight
dkmag1              701     doomknight3         dkmag2             0         OblivionKnight
dkmag2              702     doomknight3                            0         OblivionKnight
mummy6              703     mummy1                                 3         Cadaver
